video,frame,case,tp,fp,fn,tn,iou,dice,gt_area,pred_area
LapChol Case 0007 01,3317,TP,4824,3042,576,991558,0.5714285714285714,0.7272727272727273,5400,7866
LapChol Case 0007 01,3419,TP,5005,2795,231,991969,0.6232100610135725,0.7678735808530224,5236,7800
LapChol Case 0007 01,3590,TP,0,11000,6825,982175,0.0,0.0,6825,11000
LapChol Case 0007 01,3689,TP,4599,15553,730,979118,0.22023752514126999,0.36097484400141283,5329,20152
LapChol Case 0007 01,3756,TN,3621,14427,923,981029,0.19087027568393863,0.3205559490084986,4544,18048
LapChol Case 0007 01,3845,TP,5332,1844,3182,989642,0.5147711913496814,0.6796685787125558,8514,7176
LapChol Case 0007 01,3918,TN,3720,4215,992,991073,0.41671334154811246,0.5882818059618882,4712,7935
LapChol Case 0007 01,3932,TP,4736,1750,1339,992175,0.6052396166134185,0.7540800891648755,6075,6486
LapChol Case 0007 01,4069,TP,6834,1716,1512,989938,0.6791890280262374,0.8089488636363636,8346,8550
LapChol Case 0007 01,4223,TN,0,9396,4615,985989,0.0,0.0,4615,9396
LapChol Case 0007 01,4242,TP,0,10875,6160,982965,0.0,0.0,6160,10875
LapChol Case 0007 01,4580,TP,6090,14010,261,979639,0.2991012229261824,0.4604740841556085,6351,20100
LapChol Case 0007 01,4756,TN,0,10904,6882,982214,0.0,0.0,6882,10904
LapChol Case 0007 01,4938,TP,5544,16025,252,978179,0.25406718298886394,0.4051891101772337,5796,21569
LapChol Case 0007 01,5142,TP,6885,1857,255,991003,0.7652550850283428,0.8670192670948244,7140,8742
LapChol Case 0007 01,5511,TP,0,12596,7857,979547,0.0,0.0,7857,12596
LapChol Case 0007 01,6166,TP,7392,2688,2268,987652,0.5986394557823129,0.7489361702127659,9660,10080
LapChol Case 0007 01,6565,TP,11088,1412,1904,985596,0.7697861705081922,0.8699199748940845,12992,12500
LapChol Case 0007 01,6816,TP,0,49234,6720,944046,0.0,0.0,6720,49234
LapChol Case 0007 01,7035,TP,11400,60000,6540,922060,0.1462663587374904,0.2552048354600403,17940,71400
LapChol Case 0007 01,7266,TN,0,57600,15860,926540,0.0,0.0,15860,57600
LapChol Case 0007 01,7315,TP,0,42300,11752,945948,0.0,0.0,11752,42300
LapChol Case 0007 01,7468,TN,0,39400,5700,954900,0.0,0.0,5700,39400
LapChol Case 0007 01,7520,TP,0,29050,5625,965325,0.0,0.0,5625,29050
LapChol Case 0007 01,7729,TP,3538,5432,610,990420,0.36931106471816283,0.5394114956548254,4148,8970
LapChol Case 0007 01,8047,TN,0,41600,15694,942706,0.0,0.0,15694,41600
LapChol Case 0007 01,8101,TP,0,42728,12543,944729,0.0,0.0,12543,42728
LapChol Case 0007 01,8342,TN,0,58000,48024,893976,0.0,0.0,48024,58000
LapChol Case 0007 01,8373,TP,10450,13799,2750,973001,0.38705137227304715,0.5580923389142567,13200,24249
LapChol Case 0007 01,9541,TN,10058,2726,8695,978521,0.4682713347921225,0.6378539493293591,18753,12784
LapChol Case 0007 01,9684,TP,8500,6870,1100,983530,0.5160898603521554,0.6808169803764518,9600,15370
LapChol Case 0007 01,9929,TN,5950,7680,680,985690,0.41579315164220826,0.5873642645607108,6630,13630
LapChol Case 0007 02,129,TP,0,46860,10324,942816,0.0,0.0,10324,46860
LapChol Case 0007 02,157,TP,0,12500,14472,973028,0.0,0.0,14472,12500
LapChol Case 0007 02,431,TP,6708,6692,86,986514,0.4974047160017796,0.6643557492324453,6794,13400
LapChol Case 0007 02,740,TN,1739,35845,10231,952185,0.03636934016522012,0.0701860596520967,11970,37584
LapChol Case 0007 02,1310,TP,0,79109,6642,914249,0.0,0.0,6642,79109
LapChol Case 0007 02,1459,TP,8118,2692,3109,986081,0.5832315539909476,0.7367609021191632,11227,10810
LapChol Case 0007 02,1585,TP,3575,5800,455,990170,0.36368260427263477,0.5333830660201417,4030,9375
LapChol Case 0007 02,1662,TP,6996,4830,2332,985842,0.4941375900550925,0.6614351895622578,9328,11826
LapChol Case 0007 02,1716,TN,7000,5702,2000,985298,0.4761256971840566,0.6451018339323564,9000,12702
LapChol Case 0007 02,1725,TP,7592,5850,2392,984166,0.4794745484400657,0.6481687014428413,9984,13442
LapChol Case 0007 02,1775,TN,6375,2175,680,990770,0.69068255687974,0.8170458186478693,7055,8550
LapChol Case 0007 02,1791,TP,5525,6301,1020,987154,0.43009497119725987,0.6014914811387513,6545,11826
LapChol Case 0007 02,1868,TP,3640,3329,2443,990588,0.3867403314917127,0.5577689243027888,6083,6969
LapChol Case 0007 02,1965,TP,5994,4941,567,988498,0.5211267605633803,0.6851851851851852,6561,10935
